,onlyDistance,onlyAngular,distanceHeuristic,angularHeuristic,regions,routeMarks,barriers,distantLandmarks,usingElements,noElements,length,combined_length,minimisation_length,preferenceNatural,aversionSevering,knowledge
9,0.562,0.438,0.638,0.362,0.273,0.165,0.529,0.621,0.695,0.305,4347.288658622845,3582.347432924949,1432.9327464456132,0.5,0.75,4.5
10,0.64,0.36,0.548,0.452,0.323,0.328,0.456,0.59,0.612,0.388,4224.4935248434185,3580.185647221966,2216.425307312731,0.75,0.75,4.0
13,0.555,0.445,0.612,0.388,0.371,0.21,0.574,0.711,0.695,0.305,4291.776037594393,4291.7562074808975,2142.341521001562,0.125,0.25,4.75
14,0.696,0.304,0.474,0.526,0.461,0.321,0.32,0.687,0.622,0.378,5005.314403442007,4171.567873076003,2344.755572219743,0.75,1.0,3.5
15,0.492,0.508,0.629,0.371,0.373,0.431,0.378,0.49,0.635,0.365,4339.647081618362,2988.7566677487016,1597.901433381412,0.75,0.75,4.25
17,0.659,0.341,0.625,0.375,0.28,0.254,0.462,0.757,0.637,0.363,4316.349629150401,3919.428304433722,2243.071534925988,0.375,0.5,3.25
19,0.624,0.376,0.562,0.438,0.516,0.155,0.475,0.513,0.745,0.255,4479.9729382881005,4479.953108174605,1770.5011313502819,0.375,0.75,4.75
20,0.596,0.404,0.518,0.482,0.61,0.74,0.102,0.131,0.59,0.41,4670.991289750455,3742.6921006936836,2700.8071599678624,0.375,0.25,4.0
22,0.696,0.304,0.485,0.515,0.458,0.352,0.295,0.719,0.639,0.361,4864.052141195627,4146.069047213898,2344.755572219743,0.5,0.5,4.5
24,0.412,0.588,0.634,0.366,0.368,0.611,0.389,0.22,0.681,0.319,4454.9429261882415,4058.041431585057,2239.9140856731938,0.5,0.5,4.75
29,0.856,0.144,0.53,0.47,0.523,0.428,0.315,0.546,0.596,0.404,4766.405831114197,4048.4227371324682,2622.1060273402627,0.5,1.0,5.0
34,0.844,0.156,0.614,0.386,0.789,0.29,0.271,0.391,0.666,0.334,4722.5548177357405,4141.160094978644,1749.027706965587,0.0,0.5,4.5
38,0.722,0.278,0.584,0.416,0.396,0.214,0.551,0.722,0.672,0.328,5099.916179337937,4984.132912840168,2314.985225032948,0.5,0.25,4.25
39,0.635,0.365,0.521,0.479,0.539,0.465,0.22,0.74,0.486,0.514,4361.713909960315,3697.2820625594186,3942.111844540898,0.75,0.25,3.75
41,0.785,0.215,0.506,0.494,0.698,0.371,0.264,0.58,0.604,0.396,4691.491507183278,4273.72336893884,2805.003034238065,0.625,0.75,4.25
42,0.623,0.377,0.636,0.364,0.308,0.218,0.483,0.628,0.724,0.276,4547.104364904135,3965.689812033543,1608.9139673407794,0.75,0.25,4.75
43,0.658,0.342,0.641,0.359,0.548,0.311,0.45,0.346,0.661,0.339,4781.782845868802,3614.4191048264465,1463.6329362352044,0.5,0.25,3.0
44,0.838,0.162,0.43,0.57,0.481,0.536,0.213,0.489,0.656,0.344,5092.925478914558,4278.255846066935,2123.0229533880924,0.625,0.75,4.75
53,0.585,0.415,0.606,0.394,0.306,0.247,0.537,0.824,0.613,0.387,4094.250384482123,4094.230554368628,2625.234943074322,1.0,1.0,2.5
55,0.569,0.431,0.499,0.501,0.401,0.28,0.443,0.875,0.597,0.403,4612.929776766591,4132.268313771292,2811.9022145478693,0.375,0.5,3.5
56,0.789,0.211,0.667,0.333,0.451,0.28,0.397,0.545,0.613,0.387,4192.721847007822,3611.307294137231,2142.311682842925,0.375,0.25,4.5
57,0.887,0.113,0.544,0.456,0.785,0.318,0.225,0.521,0.577,0.423,4523.368166738889,4126.44684202221,2825.9721598486594,1.0,1.0,3.25
58,0.413,0.587,0.548,0.452,0.205,0.681,0.319,0.268,0.662,0.338,4492.5795533792,3911.1848306221027,1845.7464140201369,0.625,1.0,4.0
60,0.702,0.298,0.605,0.395,0.348,0.336,0.448,0.646,0.628,0.372,4218.576070224531,3821.6547455078526,2231.526474781019,0.75,0.5,4.25
61,0.279,0.721,0.386,0.614,0.406,0.488,0.358,0.489,0.55,0.45,3865.740186353856,3865.740186353856,3305.702896008868,0.625,0.25,5.0
62,0.737,0.263,0.523,0.477,0.277,0.47,0.281,0.693,0.7,0.3,5414.919451155605,4516.236635191685,1908.855189446334,0.5,0.25,3.0
63,0.536,0.464,0.612,0.388,0.44,0.254,0.48,0.669,0.648,0.352,4317.209727449223,3999.6823463480005,2620.215040969887,1.0,0.5,4.5
64,0.622,0.378,0.548,0.452,0.348,0.306,0.478,0.635,0.608,0.392,4191.264442201954,3731.449792734415,2367.68945282518,0.125,0.5,4.25
66,0.64,0.36,0.489,0.511,0.339,0.348,0.375,0.739,0.615,0.385,4719.980251721078,3657.924065968682,2216.425307312731,0.5,0.75,4.0
67,0.72,0.28,0.657,0.343,0.516,0.236,0.465,0.493,0.695,0.305,4357.018417478628,3960.097092761949,1810.6824062826138,0.625,1.0,4.0
69,0.785,0.215,0.51,0.49,0.582,0.43,0.26,0.58,0.656,0.344,4892.7356627622885,4478.941002954587,2430.6131335582313,0.5,0.75,2.25
70,0.532,0.468,0.473,0.527,0.358,0.612,0.3,0.427,0.673,0.327,4946.597258604487,4194.572996112958,1917.2496712187544,0.625,0.5,3.25
76,0.416,0.584,0.439,0.561,0.49,0.667,0.175,0.333,0.644,0.356,4922.730877241775,4575.826410942101,2519.982825560246,1.0,1.0,3.5
78,0.639,0.361,0.526,0.474,0.339,0.497,0.275,0.751,0.595,0.405,4760.6338885878295,4715.69446392133,3149.5133060381045,0.25,0.5,2.0
79,0.696,0.304,0.612,0.388,0.516,0.294,0.49,0.543,0.695,0.305,3770.7254310371172,3770.7056009236226,1621.2909144442874,0.5,0.5,4.5
80,0.527,0.473,0.548,0.452,0.705,0.533,0.239,0.484,0.572,0.428,4517.658602327454,3944.5773829147274,3120.7634776510454,0.375,0.25,1.25
81,0.491,0.509,0.672,0.328,0.406,0.586,0.331,0.294,0.585,0.415,4198.333967217799,3801.4324726146147,2784.856861320309,0.375,0.0,3.75
83,0.838,0.162,0.54,0.46,0.47,0.294,0.418,0.709,0.654,0.346,4728.727023315221,4331.805698598542,2151.765586467187,0.625,1.0,4.0
84,0.653,0.347,0.552,0.448,0.682,0.299,0.377,0.234,0.712,0.288,5137.473185328716,4322.091344336539,1473.955954732258,0.5,1.0,3.25
85,0.672,0.328,0.618,0.382,0.405,0.295,0.489,0.546,0.709,0.291,4393.197558112863,3641.1534655078385,1748.6330527082587,0.75,0.75,3.75
86,0.891,0.109,0.527,0.473,0.753,0.338,0.254,0.546,0.593,0.407,4569.1188967696935,4432.530525545061,2959.7108681968625,0.375,0.25,4.0
87,0.627,0.373,0.566,0.434,0.603,0.725,0.098,0.136,0.628,0.372,4946.314952068578,4135.638627771188,2539.730758374832,0.5,0.5,3.0
91,0.785,0.215,0.528,0.472,0.486,0.512,0.272,0.58,0.616,0.384,4929.042052240963,4160.1246245449165,2657.459295249365,0.5,0.5,3.75
93,0.891,0.109,0.631,0.369,0.529,0.261,0.468,0.503,0.67,0.33,4770.771147620111,4770.751317506616,2334.4636137749294,0.375,0.25,4.75
94,0.624,0.376,0.562,0.438,0.516,0.155,0.475,0.513,0.745,0.255,4479.9729382881005,4479.953108174605,1770.5011313502819,0.625,0.75,4.0
97,0.57,0.43,0.597,0.403,0.297,0.239,0.545,0.653,0.71,0.29,4365.597429907415,3968.6761051907365,1698.128759278873,0.375,0.0,4.25
98,0.795,0.205,0.531,0.469,0.53,0.343,0.255,0.577,0.652,0.348,4706.325915238908,4264.484995969225,2057.610314125877,0.375,0.25,3.25
101,0.737,0.263,0.484,0.516,0.44,0.418,0.247,0.622,0.689,0.311,4979.629171272817,4124.013422308927,1935.8960784061562,0.5,1.0,4.0
104,0.891,0.109,0.611,0.389,0.541,0.271,0.438,0.497,0.672,0.328,5119.394568079918,5003.611301582148,2334.4636137749294,0.25,0.0,3.5
107,0.481,0.519,0.64,0.36,0.578,0.402,0.449,0.344,0.686,0.314,4335.128166335663,3209.5431520081456,1723.656933781538,0.375,0.5,3.5
108,0.785,0.215,0.594,0.406,0.474,0.257,0.508,0.635,0.672,0.328,5150.420472767322,5034.637206269554,2365.4895184623338,0.25,0.25,3.25
109,0.856,0.144,0.54,0.46,0.445,0.316,0.396,0.664,0.658,0.342,4761.956105956686,4180.541553086094,2000.5014409547384,0.375,0.5,2.75
110,0.831,0.169,0.547,0.453,0.502,0.387,0.333,0.585,0.615,0.385,4801.655847916837,4318.163010392531,2732.9202026996822,0.75,1.0,2.0
111,0.477,0.523,0.44,0.56,0.208,0.186,0.508,0.91,0.528,0.472,3694.2147038371613,2929.273478139264,2476.853478139264,0.375,0.75,4.5
112,0.646,0.354,0.495,0.505,0.451,0.352,0.389,0.777,0.601,0.399,4018.7677301277154,3653.869703516691,2240.347314561209,0.375,0.5,3.75
114,0.531,0.469,0.489,0.511,0.54,0.702,0.126,0.156,0.63,0.37,4961.791113770189,4147.9739216346325,2726.395645133634,0.25,0.25,3.5
116,0.887,0.113,0.552,0.448,0.622,0.435,0.189,0.449,0.656,0.344,4900.61495725483,4503.693632538151,2108.1146075552624,0.125,0.25,4.25
119,0.726,0.274,0.606,0.394,0.451,0.331,0.453,0.656,0.613,0.387,3573.1997779248477,3573.179947811353,2104.184336517047,0.5,0.25,3.75
120,0.907,0.093,0.592,0.408,0.721,0.445,0.142,0.346,0.538,0.462,4824.102920837036,3507.4325088477735,2976.295162236741,0.75,1.0,4.25
123,0.583,0.417,0.583,0.417,0.186,0.303,0.481,0.763,0.657,0.343,4868.178738933775,4286.764186063183,2202.40173987057,0.5,0.25,3.25
125,0.64,0.36,0.548,0.452,0.323,0.328,0.456,0.59,0.612,0.388,4224.4935248434185,3580.185647221966,2216.425307312731,0.875,1.0,4.0
130,0.648,0.352,0.615,0.385,0.384,0.291,0.493,0.737,0.613,0.387,4144.754677911508,4144.734847798014,2675.7392365037076,0.75,0.25,4.5
131,0.48,0.52,0.528,0.472,0.171,0.254,0.53,0.739,0.614,0.386,4173.9892314140325,3529.6813537925805,2165.921013883346,0.875,1.0,4.0
132,0.296,0.704,0.634,0.366,0.326,0.522,0.478,0.398,0.667,0.333,4330.617240445832,4330.617240445832,2633.6225539664974,0.75,0.75,4.0
134,0.515,0.485,0.664,0.336,0.435,0.569,0.348,0.286,0.583,0.417,4657.850688501536,4260.949193898352,2957.5005653516946,0.75,0.25,2.5
135,0.72,0.28,0.657,0.343,0.516,0.236,0.465,0.493,0.695,0.305,4357.018417478628,3960.097092761949,1810.6824062826138,0.625,0.75,2.25
136,0.681,0.319,0.589,0.411,0.451,0.28,0.449,0.577,0.593,0.407,4139.726588275919,3496.385265981076,2253.757585504369,0.5,0.25,4.0
137,0.49,0.51,0.545,0.455,0.386,0.832,0.134,0.291,0.548,0.452,4752.226923065147,4568.700250237843,3611.7289453254816,0.375,0.25,1.75
138,0.791,0.209,0.47,0.53,0.645,0.215,0.311,0.65,0.652,0.348,5384.825152439787,4630.711853583639,2481.6863186984133,0.375,0.5,4.25
140,0.555,0.445,0.618,0.382,0.363,0.206,0.578,0.724,0.695,0.305,4268.871872370455,3913.729274368614,2142.341521001562,0.375,0.75,2.5
143,0.562,0.438,0.638,0.362,0.273,0.165,0.529,0.621,0.695,0.305,4347.288658622845,3582.347432924949,1432.9327464456132,0.625,0.25,4.0
144,0.654,0.346,0.556,0.444,0.451,0.192,0.437,0.626,0.664,0.336,4282.447285175831,4282.427455062336,2253.3945534230415,0.875,1.0,5.0
149,0.838,0.162,0.5,0.5,0.546,0.476,0.214,0.489,0.671,0.329,4966.557055075311,4155.860900664426,1986.4003718355418,0.25,0.5,4.5
150,0.569,0.431,0.499,0.501,0.401,0.28,0.443,0.875,0.597,0.403,4612.929776766591,4132.268313771292,2811.9022145478693,0.125,0.0,4.75
151,0.57,0.43,0.597,0.403,0.297,0.239,0.545,0.653,0.71,0.29,4365.597429907415,3968.6761051907365,1698.128759278873,0.375,0.25,2.5
152,0.22,0.78,0.491,0.509,0.142,0.585,0.353,0.576,0.589,0.411,4708.317161143133,3646.2808055042315,2657.2020468482806,0.125,0.5,2.75
155,0.64,0.36,0.548,0.452,0.323,0.328,0.456,0.59,0.612,0.388,4224.4935248434185,3580.185647221966,2216.425307312731,0.25,0.5,4.25
160,0.659,0.341,0.625,0.375,0.28,0.254,0.462,0.757,0.637,0.363,4316.349629150401,3919.428304433722,2243.071534925988,0.375,1.0,5.0
162,0.612,0.388,0.497,0.503,0.345,0.861,0.139,0.129,0.659,0.341,5414.728964822378,4665.256812960202,2147.352873478413,0.375,0.75,2.75
165,0.555,0.445,0.612,0.388,0.371,0.21,0.574,0.711,0.695,0.305,4291.776037594393,4291.7562074808975,2142.341521001562,0.375,1.0,3.5
168,0.585,0.415,0.606,0.394,0.275,0.275,0.509,0.824,0.629,0.371,4301.611542695551,4301.591712582056,2625.234943074322,0.625,0.5,4.0
169,0.414,0.586,0.596,0.404,0.263,0.516,0.394,0.42,0.621,0.379,4471.5795353022695,3906.600611594008,2268.7771382448086,0.125,0.25,2.75
170,0.682,0.318,0.605,0.395,0.417,0.38,0.354,0.605,0.582,0.418,4244.0097600793615,3529.5808843749555,2709.399994749344,0.25,0.25,4.0
172,0.246,0.754,0.57,0.43,0.229,0.557,0.443,0.5,0.58,0.42,4313.141117524414,4250.247792773554,3252.678954083419,0.375,0.0,1.75
175,0.294,0.706,0.566,0.434,0.191,0.58,0.42,0.451,0.604,0.396,4846.479231121173,4386.68441176713,2981.1098963921154,0.375,0.0,2.5
176,0.696,0.304,0.612,0.388,0.516,0.294,0.49,0.543,0.695,0.305,3770.7254310371172,3770.7056009236226,1621.2909144442874,0.375,0.75,4.0
178,0.555,0.445,0.612,0.388,0.371,0.21,0.574,0.711,0.695,0.305,4291.776037594393,4291.7562074808975,2142.341521001562,0.375,0.5,3.25
180,0.732,0.268,0.634,0.366,0.516,0.296,0.455,0.473,0.695,0.305,4318.799878268513,4135.253375327713,1985.8386888483774,0.75,0.5,4.0
183,0.71,0.29,0.61,0.39,0.451,0.25,0.427,0.534,0.593,0.407,4165.410218985246,3521.102341363793,2278.4746608870864,0.25,0.5,2.5
186,0.579,0.421,0.522,0.478,0.604,0.681,0.182,0.281,0.58,0.42,4712.80739662156,4179.337360907239,3037.8050441265127,0.125,0.0,3.75
187,0.702,0.298,0.533,0.467,0.364,0.353,0.373,0.786,0.631,0.369,4714.062797102191,3899.3931642545685,2231.526474781019,0.375,0.75,4.75
188,0.791,0.209,0.554,0.446,0.529,0.148,0.482,0.53,0.72,0.28,4939.489659571837,4939.469829458343,1943.144835381668,0.375,0.75,1.5
189,0.256,0.744,0.519,0.481,0.16,0.504,0.34,0.465,0.707,0.293,5324.277106459468,3154.636089322794,1198.4168311971805,0.5,0.25,3.75
190,0.891,0.109,0.631,0.369,0.529,0.261,0.468,0.503,0.67,0.33,4770.771147620111,4770.751317506616,2334.4636137749294,0.375,0.25,4.75
191,0.856,0.144,0.603,0.397,0.401,0.314,0.47,0.505,0.689,0.311,4908.847527262003,4327.43297439141,1770.012611227196,0.375,0.75,4.25
194,0.623,0.377,0.642,0.358,0.299,0.214,0.488,0.641,0.724,0.276,4524.200199680197,3587.6628789212596,1608.9139673407794,0.5,0.25,1.5
196,0.717,0.283,0.462,0.538,0.352,0.575,0.147,0.581,0.675,0.325,5986.564120359601,4176.7534611715055,2235.6671613925637,0.75,0.25,4.75
197,0.548,0.452,0.542,0.458,0.602,0.77,0.159,0.357,0.5,0.5,3837.6012847391617,3837.6012847391617,3837.6012847391617,0.375,0.5,3.75
199,0.442,0.558,0.627,0.373,0.303,0.649,0.351,0.334,0.6,0.4,4257.417273075971,3860.5157784727876,2722.8075077459534,0.375,0.25,4.5
210,0.756,0.244,0.613,0.387,0.451,0.306,0.4,0.48,0.593,0.407,4172.955670917384,3345.121120468627,2102.4934399919202,0.5,0.25,4.25
212,0.556,0.444,0.471,0.529,0.452,0.809,0.178,0.165,0.656,0.344,4643.772864643661,4114.234598565179,1851.3884800142714,0.25,0.25,4.25
216,0.506,0.494,0.489,0.511,0.323,0.236,0.486,0.962,0.597,0.403,4562.425483337205,4081.764020341906,2761.3979211184833,0.5,0.0,3.5
218,0.52,0.48,0.536,0.464,0.206,0.277,0.507,0.769,0.63,0.37,4348.121306985996,3888.3066575184575,2317.1851593957945,0.625,0.75,4.5
219,0.722,0.278,0.496,0.504,0.62,0.328,0.307,0.667,0.604,0.396,4640.987213753893,4223.219075509454,2754.498740808679,0.75,1.0,4.75
220,0.689,0.311,0.612,0.388,0.388,0.321,0.463,0.488,0.713,0.287,4449.330805978266,3867.9162531076736,1597.36890719581,0.375,0.0,4.25
223,0.887,0.113,0.538,0.462,0.785,0.31,0.221,0.516,0.582,0.418,4705.599691959945,4263.758772690262,2825.9721598486594,0.375,0.25,4.75
224,0.395,0.605,0.512,0.488,0.254,0.642,0.358,0.276,0.619,0.381,4587.084589208715,3774.7191125956806,2242.130910631552,0.875,0.75,3.75
225,0.423,0.577,0.492,0.508,0.198,0.74,0.156,0.244,0.65,0.35,5190.573135043142,3954.7655351861204,1722.695194160963,0.625,1.0,4.5
229,0.675,0.325,0.575,0.425,0.451,0.275,0.454,0.587,0.593,0.407,4086.417145201527,4023.5039903371717,2780.876309860465,0.25,0.25,5.0
231,0.672,0.328,0.612,0.388,0.413,0.299,0.485,0.533,0.709,0.291,4416.101723336801,4019.180398620122,1748.6330527082587,1.0,0.75,4.25
232,0.341,0.659,0.381,0.619,0.613,0.302,0.361,0.496,0.613,0.387,3882.7278827824293,3446.215204480841,2234.7089840468175,0.5,0.5,4.75
236,0.856,0.144,0.505,0.495,0.512,0.505,0.188,0.444,0.673,0.327,5015.534492406683,4318.356503151816,1894.8011084684586,0.5,0.25,3.5
239,0.57,0.43,0.6,0.4,0.271,0.27,0.514,0.667,0.732,0.268,4572.958588120843,4176.037263404165,1698.128759278873,0.25,0.0,4.75
240,0.525,0.475,0.47,0.53,0.574,0.631,0.149,0.254,0.598,0.402,5280.129188809957,4532.5172068926995,2892.0894546317704,0.5,0.75,5.0
242,0.791,0.209,0.534,0.466,0.541,0.159,0.452,0.524,0.722,0.278,5288.113080031645,5172.3298135338755,1943.144835381668,0.625,0.25,3.5
244,0.608,0.392,0.624,0.376,0.603,0.373,0.366,0.271,0.74,0.26,4469.012823615493,3887.6181008583962,1283.8458196323031,0.25,0.25,2.25
245,0.366,0.634,0.431,0.569,0.382,0.614,0.386,0.431,0.56,0.44,3843.412913265801,3675.3354841607224,2690.917249456759,0.25,0.25,3.75
247,0.704,0.296,0.489,0.511,0.415,0.334,0.353,0.737,0.599,0.401,4885.742245281646,4125.670931275919,2619.55784107166,1.0,0.5,3.75
248,0.448,0.552,0.426,0.574,0.486,0.473,0.378,0.529,0.534,0.466,3778.779769086939,2611.4160280445835,2323.3649037524997,0.25,0.5,3.25
249,0.646,0.354,0.548,0.452,0.451,0.301,0.483,0.645,0.593,0.407,3545.888149902271,3482.9749950379155,2240.347314561209,0.5,0.25,4.0
250,0.246,0.754,0.57,0.43,0.261,0.529,0.471,0.5,0.565,0.435,4105.779959310985,4042.886634560125,3252.678954083419,0.375,0.25,4.75
253,0.513,0.487,0.541,0.459,0.187,0.28,0.504,0.755,0.642,0.358,4840.867110911197,4196.559233289746,2338.564717914732,0.25,0.25,3.25
255,0.838,0.162,0.53,0.47,0.474,0.485,0.285,0.489,0.638,0.362,4881.982861191387,4026.3671122274973,2213.2465335266756,0.5,0.75,3.25
256,0.681,0.319,0.529,0.471,0.469,0.28,0.383,0.747,0.592,0.408,4468.821419914828,3478.5756313203105,2253.757585504369,0.5,0.25,5.0
258,0.737,0.263,0.569,0.431,0.321,0.242,0.522,0.665,0.688,0.312,5173.73757165096,4661.052810550006,1870.772463310259,0.25,0.25,3.0
259,0.759,0.241,0.674,0.326,0.516,0.243,0.434,0.432,0.695,0.305,4390.247500120092,3808.8329472495006,1659.4182607701653,0.875,0.75,4.25
261,0.677,0.323,0.51,0.49,0.316,0.594,0.14,0.572,0.623,0.377,5211.524289872015,3957.479418125351,2549.016496698532,0.5,0.25,4.5
264,0.729,0.271,0.52,0.48,0.37,0.427,0.207,0.613,0.694,0.306,4954.461608025939,4144.600787775038,1730.364947718262,0.25,0.25,4.0
265,0.67,0.33,0.612,0.388,0.456,0.365,0.369,0.446,0.667,0.333,4474.764495833096,3575.8423919747765,2075.2424271641353,0.375,0.25,4.5
266,0.689,0.311,0.612,0.388,0.388,0.321,0.463,0.488,0.713,0.287,4449.330805978266,3867.9162531076736,1597.36890719581,0.25,0.25,2.75
267,0.579,0.421,0.514,0.486,0.349,0.172,0.456,0.893,0.592,0.408,4410.7716745533035,3604.052558786091,2379.23451297015,0.5,0.75,3.5
269,0.384,0.616,0.596,0.404,0.276,0.53,0.402,0.329,0.725,0.275,4876.466346627968,4311.487422919707,1785.8837161720487,0.375,0.75,4.75
270,0.376,0.624,0.528,0.472,0.269,0.748,0.206,0.511,0.555,0.445,4764.578245637411,4046.6149817691758,3545.776188948572,0.25,0.25,2.0
273,0.819,0.181,0.529,0.471,0.651,0.461,0.21,0.517,0.532,0.468,4667.095717154505,3952.666841450099,3468.6424879337633,0.375,0.75,3.5
274,0.474,0.526,0.635,0.365,0.567,0.421,0.397,0.241,0.744,0.256,4449.026457392876,3260.4895165997577,1168.9201737111434,0.5,0.5,3.25
275,0.718,0.282,0.531,0.469,0.548,0.464,0.27,0.695,0.532,0.468,4386.784513534871,4039.8602171217017,3514.7426180019584,0.5,0.75,3.75
279,0.569,0.431,0.558,0.442,0.384,0.26,0.524,0.726,0.593,0.407,4117.4430498889315,4054.529895024576,2811.9022145478693,1.0,0.0,4.25
280,0.654,0.346,0.556,0.444,0.451,0.192,0.437,0.626,0.664,0.336,4282.447285175831,4282.427455062336,2253.3945534230415,0.375,0.75,4.5
286,0.689,0.311,0.618,0.382,0.379,0.317,0.467,0.501,0.713,0.287,4426.426640754327,3489.88931999539,1597.36890719581,0.625,0.75,4.25
287,0.574,0.426,0.54,0.46,0.594,0.346,0.391,0.409,0.639,0.361,4725.290865579971,4265.496046225928,2226.8100692930593,0.875,0.75,4.0
289,0.696,0.304,0.485,0.515,0.49,0.364,0.262,0.685,0.623,0.377,4772.537420022569,4191.122867151977,2562.15436733247,0.25,0.75,4.25
290,0.567,0.433,0.446,0.554,0.482,0.152,0.477,0.686,0.613,0.387,4649.586077435223,4649.566247321728,2987.065567075319,0.375,0.75,2.25
292,0.856,0.144,0.603,0.397,0.401,0.314,0.47,0.505,0.689,0.311,4908.847527262003,4327.43297439141,1770.012611227196,0.625,1.0,3.5
293,0.614,0.386,0.499,0.501,0.545,0.31,0.328,0.832,0.534,0.466,4804.125460181989,4307.941317945632,3692.908268275123,0.25,0.25,2.5
294,0.703,0.297,0.491,0.509,0.834,0.451,0.167,0.359,0.682,0.318,4823.460616270033,4364.766192022821,2117.0900459947243,0.25,1.0,5.0
298,0.67,0.33,0.612,0.388,0.456,0.365,0.369,0.446,0.667,0.333,4474.764495833096,3575.8423919747765,2075.2424271641353,0.625,1.0,4.25
299,0.555,0.445,0.612,0.388,0.371,0.21,0.574,0.711,0.695,0.305,4291.776037594393,4291.7562074808975,2142.341521001562,0.5,0.5,4.25
302,0.551,0.449,0.511,0.489,0.692,0.318,0.325,0.657,0.607,0.393,4798.373787964387,4619.717026829252,2901.511660743291,0.0,0.0,4.5
303,0.724,0.276,0.47,0.53,0.605,0.371,0.211,0.576,0.588,0.412,4690.869016037945,4273.100877793506,3092.3979349212923,0.25,0.25,3.75
309,0.791,0.209,0.45,0.55,0.753,0.225,0.268,0.574,0.643,0.357,4737.83740872142,4601.249037496787,2568.392089803601,0.875,1.0,4.75
